Country,Risk_Type,Risk_Level,Impact_Score
Country 36,Political,Low,4.304334032557441
Country 11,Political,High,3.727222008573776
Country 47,Environmental,Medium,3.2392780708338256
Country 40,Social,Medium,3.2395211083061857
Country 32,Regulatory,Low,1.1514032169868669
Country 18,Political,Low,4.3921613154091705
Country 32,Social,Medium,1.3429803169944257
Country 11,Economic,Low,1.321999756602954
Country 3,Political,Medium,4.892371644983364
Country 41,Environmental,Medium,2.520697674517992
Country 42,Social,Low,3.8457417363755475
Country 35,Economic,High,1.4210038525100108
Country 5,Social,High,3.4723527578396935
Country 19,Political,Low,4.603131069236232
Country 28,Environmental,Low,1.4900048418261824
Country 25,Environmental,Low,4.681433675546563
Country 6,Social,Low,2.5686355588251466
Country 37,Social,Low,4.688690296444693
Country 46,Regulatory,High,1.953776823299286
Country 36,Social,High,3.943081051447843
Country 1,Environmental,Medium,2.387220722165798
Country 35,Regulatory,Low,3.1553903535106924
Country 19,Social,Medium,3.447953862938898
Country 34,Regulatory,Medium,1.3496199579239976
Country 33,Social,High,2.080201297467142
Country 25,Social,Medium,1.450516354112552
Country 30,Economic,Medium,2.115654057000747
Country 3,Political,Low,1.5265634408842192
Country 3,Economic,Medium,4.938883764348461
Country 4,Social,Medium,4.082375541958811
Country 7,Social,Medium,1.9158055577360193
Country 22,Economic,Medium,4.310835293484797
Country 28,Social,High,1.2704406836240776
Country 25,Social,Low,4.538440613516205
Country 22,Social,Low,4.109125755444888
Country 23,Environmental,Low,4.536979349617926
Country 13,Social,Low,1.8632107926710395
Country 30,Environmental,Low,1.3717875166809672
Country 4,Social,High,3.9464867574945393
Country 42,Environmental,Low,4.9395801690496715
Country 30,Regulatory,Medium,2.2378333838979194
Country 8,Economic,Low,1.5610680942482849
Country 8,Environmental,Low,3.805220168719635
Country 18,Regulatory,Low,4.615908697616277
Country 48,Regulatory,Medium,3.1902765562532904
Country 18,Political,Medium,1.4842163822951084
Country 50,Social,Low,3.7751728443081958
Country 1,Economic,High,1.6230568168831567
Country 42,Political,Low,2.5047814046854313
Country 5,Social,Medium,1.9884696353621907
Country 28,Social,Medium,2.7354715987745686
Country 39,Political,High,3.7376502912768594
Country 22,Regulatory,Medium,4.062178463519337
Country 14,Environmental,High,1.2780479688307684
Country 22,Political,Low,1.1586537718240368
Country 25,Regulatory,High,4.469880598913174
Country 27,Political,Medium,3.5967859051896918
Country 22,Political,High,2.075909899547141
Country 40,Environmental,Low,2.1846077153026133
Country 40,Environmental,High,4.448811951385373
Country 29,Environmental,Low,2.7331438845588645
Country 43,Economic,Medium,4.748262309702849
Country 32,Political,Low,4.351262279199075
Country 8,Regulatory,Low,3.8703306262566866
Country 17,Economic,High,1.7979924274046901
Country 36,Economic,Medium,1.8475756692556873
Country 47,Environmental,High,4.772875761729677
Country 50,Environmental,Low,4.840901540513958
Country 37,Social,Low,4.130068198644778
Country 45,Environmental,Medium,1.259467224283629
Country 7,Regulatory,High,2.616901474752462
Country 21,Regulatory,High,2.735844997620284
Country 17,Environmental,High,3.2870810186621156
Country 48,Political,High,2.1560394293174827
Country 9,Economic,Low,1.5837110359261866
Country 39,Social,Medium,1.3521865656184193
Country 45,Economic,High,1.4409626640316713
Country 19,Economic,Medium,3.275591538046754
Country 14,Economic,High,2.8761380475155582
Country 17,Economic,Medium,3.911573217480808
Country 22,Political,High,2.9701894972102068
Country 18,Political,Low,2.0165130900360193
Country 50,Economic,Low,2.9689884446950527
Country 11,Environmental,Medium,1.5016566138672784
Country 43,Social,Low,2.6124838839434705
Country 37,Social,Low,2.3495236955160705
Country 26,Economic,Low,3.948626284751445
Country 26,Political,High,2.53294870049747
Country 28,Social,Low,1.8218127840756804
Country 47,Environmental,High,4.114757926929801
Country 1,Social,High,1.1612174376764064
Country 31,Political,High,2.416504949242583
Country 19,Economic,Low,2.3541791678928243
Country 46,Social,Low,3.048947150413768
Country 13,Economic,High,3.604695328231833
Country 47,Economic,Medium,3.3801241310887957
Country 26,Regulatory,High,4.326333713071689
Country 2,Regulatory,Medium,4.872748773388366
Country 11,Environmental,Low,2.9918475962632956
Country 38,Economic,Medium,1.380464077596499
Country 45,Political,High,4.826546942286589
Country 46,Political,Medium,3.0259404159476406
Country 29,Social,High,3.6351153640878926
Country 9,Political,Low,3.3612888645487207
Country 33,Political,Medium,2.2591904699757377
Country 8,Regulatory,Low,2.254053581996707
Country 22,Social,High,3.9234292682573852
Country 34,Economic,Low,3.502654914704833
Country 42,Regulatory,Low,1.3531157975271153
Country 38,Political,Medium,1.860838020631478
Country 37,Political,High,4.642464777199628
Country 40,Regulatory,Low,3.301087997317326
Country 40,Social,High,1.4770306623618574
Country 30,Regulatory,Low,4.168638179056502
Country 10,Environmental,High,1.0514195491496587
Country 8,Political,Low,4.524424833264961
Country 41,Economic,High,4.878232996801444
Country 11,Regulatory,Low,3.5589335637563546
Country 5,Regulatory,Low,3.2166718284575784
Country 5,Environmental,Medium,4.591513392213555
Country 33,Environmental,Medium,3.759816957562687
Country 25,Social,Medium,1.03940682804333
Country 5,Economic,Medium,3.8823940056428956
Country 5,Political,Medium,4.574491083927196
Country 1,Social,High,2.225491156548608
Country 19,Environmental,Medium,4.373938363660091
Country 2,Regulatory,Medium,4.385627312295318
Country 47,Social,High,2.1503953987265425
Country 22,Regulatory,High,2.558723477382695
Country 35,Economic,Medium,2.248575752121662
Country 3,Economic,Low,3.4245544771383623
Country 11,Regulatory,Low,1.8983769509797446
Country 18,Political,Medium,1.4134042704655827
Country 46,Environmental,Low,4.915310093566379
Country 2,Environmental,Low,1.9495585780723625
Country 35,Regulatory,Low,1.798794190513656
Country 31,Economic,Low,2.5440234231321512
Country 13,Environmental,Low,4.446650802169744
Country 33,Social,Low,1.8446690687518208
Country 48,Political,Low,2.7328913744053547
Country 21,Economic,High,1.487290899489932
Country 27,Political,Medium,2.2633408731605638
Country 24,Regulatory,Medium,3.885697295239955
Country 36,Regulatory,Low,2.8489322707934432
Country 28,Social,Medium,3.2025234740388373
Country 20,Environmental,High,4.556409391537113
Country 43,Social,Low,2.1398731597732605
Country 9,Economic,Low,3.24111194912064
Country 40,Political,Medium,2.1232248649295347
Country 23,Economic,Medium,2.3390632133029743
Country 35,Regulatory,High,4.363371814954205
Country 24,Economic,Medium,1.0875237927960448
Country 5,Regulatory,High,3.4713541078291152
Country 26,Political,Low,4.269555927741692
Country 35,Social,Medium,4.814724729522662
Country 4,Environmental,High,3.279653214987095
Country 48,Economic,High,3.5264998341903073
Country 17,Political,High,4.452109502935185
Country 45,Regulatory,Medium,4.77941992797953
Country 3,Political,Medium,1.7198978652172245
Country 39,Regulatory,High,1.1104912390778177
Country 31,Economic,Low,2.0145786915370323
Country 4,Environmental,High,1.1050938375705455
Country 26,Regulatory,Medium,3.3127345416162317
Country 26,Economic,Medium,3.6119306415184727
Country 35,Economic,High,1.5718223257130912
Country 3,Political,Low,1.8135831987657745
Country 3,Economic,Low,1.403350672528529
Country 43,Environmental,High,3.6046334015562045
Country 21,Social,High,1.7637573420781556
Country 49,Social,High,3.968662079774665
Country 7,Social,High,2.623501709207843
Country 13,Political,Medium,2.9609326764219013
Country 12,Environmental,Medium,4.1964357006626996
Country 36,Political,Medium,2.6375811787963532
Country 39,Political,High,2.5290514368657333
Country 9,Environmental,High,4.574159827615734
Country 10,Environmental,High,3.6049632846004993
Country 21,Regulatory,Low,1.2748367939070437
Country 48,Regulatory,High,2.4121436709383737
Country 17,Regulatory,High,3.1049395702482334
Country 31,Economic,Low,4.178903117980011
Country 39,Regulatory,High,1.0455552685411211
Country 4,Social,Medium,3.0880920112345445
Country 36,Social,Medium,4.6719265252898925
Country 42,Environmental,Medium,4.396902651009745
Country 50,Economic,High,4.20766202255222
Country 41,Environmental,Low,1.6289323494520165
Country 1,Political,Medium,1.1864740013137798
Country 24,Environmental,High,4.969228646900229
Country 5,Economic,Medium,2.3244793022611807
Country 26,Environmental,Medium,3.573389451644311
Country 12,Environmental,High,3.962763960615579
Country 28,Social,High,1.7679481168361169
Country 39,Environmental,Low,3.8387595467575104
Country 9,Economic,Low,4.696544485043714
Country 49,Economic,Medium,3.0038142296718093
Country 30,Regulatory,High,4.740433675013557
Country 42,Social,Low,3.6671227775021413
Country 24,Regulatory,Medium,3.758364748867913
Country 33,Economic,Low,1.2995694266144628
Country 37,Political,Low,1.2443830188932972
Country 22,Economic,Medium,3.1470531192023317
Country 49,Economic,Low,2.840116299839577
Country 20,Social,Medium,3.657464401065064
Country 22,Regulatory,Low,3.2118553113526325
Country 12,Economic,Medium,3.6494919738760108
Country 28,Political,High,3.9343071704477177
Country 22,Economic,Medium,4.036881872255521
Country 49,Political,High,3.5788365708738374
Country 47,Regulatory,High,2.5345698722421863
Country 50,Economic,Low,4.14885103344184
Country 31,Economic,Medium,3.590749694286883
Country 17,Political,Medium,4.185881850213668
Country 17,Environmental,Low,3.4232785060228226
Country 22,Environmental,High,2.2876381233842626
Country 49,Economic,Medium,4.861225115336191
Country 49,Regulatory,Medium,3.7933183169502795
Country 30,Environmental,Medium,3.0993211806091496
Country 12,Social,High,4.537185721023725
Country 47,Economic,High,4.133016466278814
Country 16,Economic,High,3.399327338846715
Country 1,Regulatory,High,2.8730579690588653
Country 26,Political,Medium,4.046972730100073
Country 42,Environmental,High,2.801781508445679
Country 34,Environmental,Medium,2.8319616096113935
Country 26,Environmental,Medium,2.542625081676078
Country 18,Social,High,1.0075604077027442
Country 21,Economic,Low,1.7906714642738368
Country 29,Regulatory,Medium,4.032971705421769
Country 5,Political,Low,3.954773820699971
Country 44,Regulatory,High,4.833656095369729
Country 22,Political,Medium,1.9486764820200668
Country 45,Political,Low,3.996819919215953
Country 14,Environmental,Medium,2.742362035174574
Country 16,Social,Low,2.80557029173062
Country 28,Social,Low,2.813753474868653
Country 22,Environmental,Low,1.6409260687175564
Country 37,Political,Medium,4.602306819324179
Country 25,Social,Medium,4.078798316886436
Country 44,Economic,Low,4.270627862462278
Country 14,Economic,Medium,2.7313678338712957
Country 26,Environmental,High,1.9896864579542757
Country 15,Environmental,Medium,2.006597375941868
Country 32,Regulatory,High,4.65090666197905
Country 19,Social,High,4.6649334973690655
Country 5,Social,High,4.760518187294033
Country 16,Environmental,High,1.2733246315446567
Country 33,Environmental,High,3.471965445135633
Country 47,Political,High,1.2546937785044294
Country 6,Regulatory,High,2.5451669086499855
Country 28,Regulatory,Low,3.4928950863561017
Country 4,Economic,High,2.5088482570313944
Country 16,Environmental,Low,2.653447477068456
Country 49,Economic,Medium,4.503622375894901
Country 9,Political,Low,4.402707208970885
Country 15,Social,High,4.287607234072647
Country 7,Environmental,Low,2.898256886573287
Country 25,Regulatory,Low,1.3268771198570875
Country 3,Economic,High,3.2673666920144275
Country 34,Social,Medium,3.6675992849299237
Country 10,Political,Low,1.2750294959143447
Country 16,Economic,High,3.642835749012779
Country 7,Political,High,1.1256266001063255
Country 38,Economic,High,1.3591903512905303
Country 24,Environmental,Medium,4.504373356434411
Country 8,Environmental,Medium,4.090672045188697
Country 16,Regulatory,High,1.8490322736005091
Country 5,Political,Medium,2.6580531361800928
Country 23,Political,High,3.2598980535112547
Country 39,Economic,Medium,4.353910409433954
Country 2,Regulatory,High,3.1258798653675726
Country 47,Political,High,2.9383027342732904
Country 43,Social,Medium,3.898658264116507
Country 16,Economic,Low,2.6642364320700596
Country 34,Regulatory,Low,2.9771589008184747
Country 47,Social,High,2.4670146992426503
Country 23,Economic,High,2.5840066375571236
Country 17,Regulatory,High,1.3968467476820523
Country 25,Economic,High,4.20554606436684
Country 29,Economic,Medium,2.1950103557945564
Country 40,Environmental,Low,3.454638816690321
Country 36,Economic,High,1.5363872331589161
Country 40,Economic,Medium,3.501727703914355
Country 30,Economic,Low,3.285927110514749
Country 18,Economic,Low,1.189585033565569
Country 9,Economic,Medium,3.1862595966621607
Country 3,Economic,Medium,4.775295773265261
Country 8,Political,Low,2.264942481225535
Country 40,Regulatory,Low,2.3916803541367884
Country 25,Economic,Low,2.422361345744613
Country 33,Social,Low,2.4245747520506478
Country 36,Environmental,Low,2.485612955804772
Country 24,Regulatory,High,2.0169495084439792
Country 40,Economic,High,4.368861636849794
Country 14,Economic,High,1.7812089081469318
Country 9,Economic,High,1.0120553255088254
Country 28,Political,High,3.439512561573691
Country 3,Political,Medium,2.687898138395418
Country 40,Political,Medium,4.934502216389955
Country 47,Political,High,4.841063781976773
Country 13,Regulatory,Low,2.7992931606168887
Country 47,Regulatory,Medium,3.20432494433085
Country 34,Social,Medium,1.2988502812508846
Country 7,Social,High,3.0417634247416534
Country 29,Economic,High,2.0972745875553254
Country 38,Economic,Low,2.01913499610245
Country 41,Social,High,1.136405006829964
Country 27,Political,High,2.0230350007323796
Country 44,Political,Medium,4.482293307039808
Country 20,Political,Low,2.0873003785263644
Country 1,Regulatory,High,2.314407695282763
Country 25,Social,Low,4.913588555449715
Country 1,Regulatory,High,4.921841614097367
Country 6,Economic,Medium,1.0426410352127102
Country 40,Economic,High,1.4278828686031835
Country 10,Economic,Low,2.5724382568952535
Country 32,Regulatory,High,4.532576711792775
Country 39,Environmental,High,3.7875919331871133
Country 27,Social,Low,2.1991520476957276
Country 50,Social,Medium,2.0491863232426883
Country 34,Economic,Medium,1.5600473163059099
Country 11,Economic,Low,1.8891023426507103
Country 32,Environmental,Medium,3.042694596638663
Country 36,Economic,Medium,3.3920853186373696
Country 28,Economic,High,4.189150455937153
Country 10,Environmental,Low,2.882553221663035
Country 20,Social,High,4.542145597402814
Country 45,Political,High,4.036954141464271
Country 28,Social,Medium,3.4414515629610833
Country 18,Social,Medium,2.2804507358948984
Country 23,Political,Low,2.4005445804191012
Country 10,Political,Low,4.84978302864209
Country 40,Social,High,3.574261049147234
Country 9,Social,Low,4.029918627738498
Country 45,Political,Medium,3.036306922626586
Country 30,Regulatory,Medium,3.5061403216703138
Country 48,Economic,High,3.5087554805683823
Country 21,Political,Low,4.489165559056236
Country 37,Social,High,4.762408585082571
Country 9,Social,Medium,1.4550766681351819
Country 34,Political,Medium,1.6130872174944235
Country 24,Regulatory,High,3.6115327529023156
Country 40,Economic,High,2.360932022752652
Country 23,Political,Medium,2.5443495932291396
Country 43,Economic,Medium,2.1040955029278217
Country 21,Economic,Low,2.110507548643031
Country 45,Environmental,Low,1.1342213175725537
Country 41,Political,High,4.9416629223823385
Country 48,Economic,Low,4.871237782711038
Country 22,Political,High,2.604247261176925
Country 42,Political,High,2.0433482758413986
Country 40,Regulatory,Medium,1.4204520101691864
Country 23,Regulatory,Medium,3.869126128129999
Country 6,Political,Low,3.3267213318647237
Country 21,Economic,High,3.807006314703069
Country 40,Environmental,Medium,2.5481090814714276
Country 24,Environmental,Medium,2.567859985349774
Country 9,Regulatory,High,3.0181743405043826
Country 28,Environmental,High,3.9478015029418496
Country 37,Environmental,Medium,4.830710808973471
Country 12,Economic,Low,2.024654220350252
Country 43,Regulatory,High,4.023640924709079
Country 38,Social,Low,2.3680696741307035
Country 17,Environmental,Low,3.788781948640355
Country 32,Political,High,4.524300446438457
Country 37,Social,Medium,4.279075376261164
Country 15,Regulatory,High,1.4956888943562654
Country 23,Political,High,1.3114535696617562
Country 17,Economic,Medium,4.68086176827018
Country 1,Social,Medium,3.309876063968512
Country 33,Political,High,2.2116928728379217
Country 12,Political,Low,3.7443681075008497
Country 34,Social,Medium,4.879651962584839
Country 12,Economic,High,3.265916139320176
Country 22,Economic,Low,2.734806376738513
Country 13,Regulatory,High,2.742212427382264
Country 4,Environmental,Medium,2.5592069052872457
Country 48,Environmental,Medium,4.16944871296919
Country 24,Social,Medium,3.5006390050423635
Country 38,Economic,High,3.4915992928485076
Country 5,Regulatory,Low,2.739334466267111
Country 35,Regulatory,Medium,1.8909036169020466
Country 14,Regulatory,High,3.8494406426913037
Country 15,Economic,Medium,2.383265567824347
Country 5,Social,Low,3.4027482231509385
Country 6,Social,High,2.4168232373584617
Country 20,Social,High,1.2051590265975616
Country 42,Political,Medium,3.471402487364439
Country 30,Economic,High,3.5466176867583643
Country 12,Regulatory,High,4.447360221778341
Country 5,Social,Medium,2.7705334245202327
Country 42,Regulatory,Low,1.9034327274371403
Country 34,Environmental,Medium,2.9181897750457715
Country 36,Environmental,Medium,1.4477502838711378
Country 8,Political,Medium,2.693398445866615
Country 40,Political,High,4.463433027776598
Country 11,Economic,High,4.620589437722961
Country 23,Political,High,2.9951375235405613
Country 38,Regulatory,High,1.7264043503622495
Country 9,Social,Low,3.6412892805398442
Country 47,Environmental,Medium,2.9039893625142255
Country 43,Regulatory,Low,3.061322512299165
Country 22,Economic,Low,1.4665870129377443
Country 35,Social,Low,4.515504403582563
Country 50,Political,High,3.4701129614761914
Country 18,Regulatory,High,3.421426022172599
Country 38,Regulatory,Low,1.9351443822321484
Country 47,Social,Medium,3.8660827456969145
Country 16,Economic,Low,1.9603212482565446
Country 33,Economic,Medium,4.959947793854988
Country 50,Regulatory,Low,2.2782429603941954
Country 47,Political,Medium,4.824358277074787
Country 6,Social,Low,1.5848110389834211
Country 41,Environmental,Low,1.9442995505550789
Country 26,Regulatory,Low,2.7768576316123665
Country 14,Environmental,Medium,2.4569582282502114
Country 4,Regulatory,Medium,3.817217589676286
Country 2,Economic,Low,2.2018563756840646
Country 13,Political,High,2.703069918357902
Country 48,Environmental,High,3.840724059079783
Country 2,Regulatory,Low,3.057878544467439
Country 48,Regulatory,Low,3.174816750734981
Country 16,Political,High,2.480616041391243
Country 14,Regulatory,Low,3.630950834877016
Country 44,Social,High,2.207482913213118
Country 44,Political,Low,4.883332576104671
Country 23,Regulatory,Low,4.539418203271377
Country 45,Economic,Medium,2.9946194250679796
Country 45,Social,Medium,2.755889742666629
Country 5,Economic,Medium,3.9395251697061706
Country 36,Environmental,High,3.4357520969737325
Country 27,Political,Low,1.636532480214143
Country 5,Environmental,High,1.6934816205123546
Country 38,Environmental,High,2.32968650052693
Country 7,Political,High,2.133037151881004
Country 25,Regulatory,Medium,3.3139003193390955
Country 26,Social,Low,1.2363117036437745
Country 40,Economic,High,4.789516631196339
Country 6,Regulatory,High,3.6195396250105385
Country 30,Environmental,Medium,3.6904161446470782
Country 7,Environmental,Medium,1.827777204796119
Country 15,Social,Low,3.615626972835748
Country 27,Social,Low,3.4839612827291746
Country 22,Regulatory,Medium,4.715751170868186
Country 20,Social,Medium,4.958699071185929
Country 4,Economic,Low,2.0780913222145374
Country 39,Economic,Medium,4.347878789426899
Country 34,Social,Medium,4.080115504678279
Country 1,Economic,Low,2.891611250660573
Country 10,Political,Medium,1.2053036419945569
Country 38,Social,Medium,1.5803442457141283
Country 46,Social,Low,4.7028025680294485
Country 33,Political,High,2.1039353704731174
Country 26,Environmental,High,2.6451250130880224
Country 25,Regulatory,Medium,3.331138855752819
Country 5,Economic,Medium,2.8242828544337577
Country 8,Economic,Low,1.3271475371604469
Country 32,Economic,Medium,4.239557984643466
Country 28,Economic,High,3.1789380906404574
Country 47,Social,Medium,4.03121021410508
Country 40,Economic,High,3.641979227624561
Country 38,Economic,Low,1.737950535595834
Country 32,Political,Medium,3.2680068859103506
Country 40,Political,High,2.606094991759394
Country 36,Social,High,3.930297455601496
Country 47,Political,Low,1.4520353425032808
Country 36,Political,High,3.596030682638766
Country 30,Political,Low,2.595813383048623
Country 1,Environmental,Medium,2.8506738607415376
Country 46,Political,Low,4.799336094124934
Country 40,Regulatory,Medium,3.105016870149965
Country 48,Regulatory,Medium,2.271521241745716
Country 19,Social,Low,1.738617020731656
Country 34,Social,High,1.519146062935353
Country 26,Environmental,High,4.690740344757296
Country 5,Economic,High,2.884069003747576
Country 17,Regulatory,High,1.8629173088259225
Country 36,Political,Medium,4.135888599348785
Country 49,Environmental,Medium,1.7486981043343848
Country 38,Regulatory,High,3.678599999005591
Country 34,Social,High,3.0932031903561152
Country 24,Environmental,Low,3.178582910064343
Country 29,Social,Low,4.188143199504312
Country 12,Political,Medium,3.895570270288081
Country 14,Regulatory,Low,3.958177091848548
Country 8,Economic,Medium,3.3958429061649613
Country 28,Environmental,Medium,2.681093534160474
Country 50,Environmental,High,2.3488611043321583
Country 21,Political,Low,1.8574944858476385
Country 47,Political,Medium,4.122398244111013
Country 3,Economic,High,1.7034507043063676
Country 12,Economic,Medium,3.9868752369729568
Country 36,Regulatory,High,2.5664047767073996
Country 2,Social,Low,4.785331836773033
Country 3,Economic,Low,2.0914514151890713
Country 10,Regulatory,High,2.428034553665154
Country 38,Political,Low,3.995698655257777
Country 42,Regulatory,High,2.215480534203365
Country 43,Economic,Low,2.8020228429237646
Country 2,Environmental,High,2.819942657899692
Country 34,Social,Low,3.1145451086795304
Country 1,Environmental,Low,4.097253664059673
Country 44,Regulatory,Low,4.99403018757445
Country 41,Environmental,Medium,3.8040271596864472
Country 34,Regulatory,High,4.06843583587701
Country 49,Political,Medium,2.3502325861838815
Country 34,Environmental,Low,1.492174380482445
Country 23,Political,Medium,2.0832292462069066
Country 37,Social,Low,4.38915465579279
Country 50,Economic,Medium,1.237919770582177
Country 36,Political,Low,3.0108847548263906
Country 22,Social,Medium,4.927608114376205
Country 16,Political,High,4.197205126747166
Country 47,Environmental,Low,3.1317558591757844
Country 18,Political,Medium,3.131072107942192
Country 20,Regulatory,Low,4.136006364584417
Country 16,Social,High,2.341925195664572
Country 9,Environmental,Medium,3.961917608360862
Country 16,Social,Medium,2.1013382342753264
Country 16,Economic,High,4.287544878620787
Country 2,Economic,Low,4.292446131900707
Country 18,Regulatory,High,4.411265023202999
Country 47,Social,High,2.0689624090589835
Country 32,Environmental,Medium,1.2003692101775316
Country 21,Social,Medium,2.735342214950278
Country 1,Economic,High,3.0696067824853284
Country 2,Environmental,High,3.2805549250618427
Country 23,Environmental,Low,2.2754955347349823
Country 15,Social,Medium,3.097170181804508
Country 26,Regulatory,Medium,2.9807515322495237
Country 26,Economic,Low,3.7836239813131582
Country 43,Political,Medium,2.0852311376790116
Country 8,Economic,Medium,4.057974041076173
Country 20,Political,Medium,2.0432370219791878
Country 3,Regulatory,Low,3.4931433508970158
Country 22,Social,High,3.7376312646446803
Country 17,Environmental,Medium,4.783256569020716
Country 47,Economic,High,1.1607092796683416
Country 25,Environmental,Medium,1.7887537282596848
Country 10,Environmental,Medium,2.4018859052068198
Country 47,Regulatory,High,2.71370160708767
Country 29,Economic,Low,1.0405364973662365
Country 12,Regulatory,Medium,4.392655572339061
Country 20,Economic,Medium,2.2876016803755075
Country 10,Political,High,3.5121870176685084
Country 48,Political,Medium,4.991839609449389
Country 10,Regulatory,High,2.235674593561336
Country 44,Environmental,Medium,2.941723068315277
Country 24,Social,High,1.2482132066865832
Country 6,Economic,Low,2.3465109779505546
Country 13,Political,Medium,1.620166634110698
Country 25,Regulatory,Medium,1.1828619136445044
Country 35,Economic,High,3.4496561466406686
Country 43,Environmental,Medium,4.437807420425028
Country 12,Environmental,Low,3.6206072050501144
Country 37,Regulatory,High,3.82116228279463
Country 8,Regulatory,Medium,3.5005168917832123
Country 47,Economic,Medium,4.411429741981312
Country 50,Social,Medium,1.2246885698207914
Country 27,Political,Medium,2.682695121592811
Country 7,Regulatory,Medium,4.06733439823349
Country 43,Environmental,Medium,2.061334393853393
Country 18,Economic,Low,1.1782754190643439
Country 49,Political,Low,3.859001618729513
Country 31,Regulatory,Low,1.7320398889106663
Country 30,Social,High,3.551606463375665
Country 17,Political,Low,4.748999185144093
Country 9,Economic,High,2.684196733645945
Country 21,Environmental,Medium,4.667954229787332
Country 3,Economic,Low,2.2059968110497294
Country 43,Environmental,Medium,3.0881856849915383
Country 17,Regulatory,Medium,4.506121772889424
Country 4,Regulatory,High,2.768875627607367
Country 30,Economic,Medium,4.324105963722958
Country 2,Economic,Low,2.0987121509655955
Country 16,Social,Medium,1.0248543121759695
Country 46,Political,High,3.3246169671264365
Country 34,Political,High,4.60606853940112
Country 19,Social,Low,2.091736416335637
Country 37,Economic,Medium,4.591459392819526
Country 1,Political,High,3.8709166841786975
Country 18,Political,Low,3.1393868645188845
Country 1,Regulatory,Low,4.422748871363835
Country 35,Social,High,2.75046366860132
Country 4,Political,High,2.9413188525173988
Country 17,Social,Low,4.263755674855653
Country 14,Regulatory,Low,1.9134208565011517
Country 27,Regulatory,High,3.267087783024216
Country 37,Environmental,Medium,2.4405160536698394
Country 37,Regulatory,High,4.4788644633937365
Country 27,Political,High,4.363362007911579
Country 4,Social,Medium,3.1758448329405313
Country 46,Economic,Low,2.404872325565404
Country 29,Economic,Low,2.4238130554499726
Country 21,Economic,Low,1.8065685585448485
Country 34,Political,Medium,1.7333927765492234
Country 28,Economic,Medium,2.824729513715411
Country 22,Social,Medium,3.171091350735418
Country 11,Regulatory,Low,2.8839223127350695
Country 31,Regulatory,High,2.200860159747069
Country 22,Social,Medium,3.159583442044609
Country 49,Environmental,High,3.4550020018543544
Country 39,Environmental,Low,2.1954776552392903
Country 21,Social,Medium,2.400179986336205
Country 14,Social,High,4.882923773830733
Country 8,Environmental,Medium,3.8029352577265136
Country 18,Regulatory,Medium,4.787174699012531
Country 48,Environmental,High,4.206302891444027
Country 42,Economic,Low,4.425435258505592
Country 6,Social,High,1.1474972691816037
Country 30,Regulatory,Low,3.978937118408608
Country 6,Economic,Low,1.6855612026277793
Country 31,Environmental,High,1.650902740297452
Country 30,Environmental,Low,3.127562779207302
Country 2,Regulatory,Medium,1.3899598785872285
Country 41,Social,Medium,1.1875787668787905
Country 40,Environmental,Medium,2.0475118641203767
Country 49,Environmental,Low,2.2466983173931054
Country 14,Political,Medium,3.1934468311914532
Country 50,Economic,Low,4.732209993376571
Country 42,Environmental,Low,1.4868640330409355
Country 16,Social,Medium,4.249815528449019
Country 39,Economic,High,4.469627766345193
Country 47,Social,Low,3.771671818723295
Country 2,Economic,Low,2.948685863263456
Country 30,Political,High,1.515984238324119
Country 40,Social,Low,4.376968608536902
Country 39,Regulatory,High,4.330734901455495
Country 27,Regulatory,Medium,4.735441521271717
Country 18,Social,High,1.9445482879355112
Country 39,Political,Medium,4.175226811091264
Country 24,Environmental,High,3.349173087554214
Country 7,Economic,Medium,4.3965614680706615
Country 44,Economic,Medium,1.5724643755148886
Country 43,Political,High,1.4893053223147557
Country 30,Environmental,High,2.272768433510568
Country 2,Economic,Low,4.6183508599897465
Country 47,Economic,Medium,3.898477752870244
Country 22,Regulatory,Low,1.4863894629942251
Country 4,Regulatory,Low,2.6226490788357038
Country 46,Economic,Low,3.1631852226670625
Country 33,Economic,High,2.3676664360881903
Country 8,Economic,High,4.535595535123106
Country 32,Economic,High,3.112104958986319
Country 27,Economic,High,2.884852855775968
Country 42,Political,High,3.44846830703662
Country 37,Environmental,High,4.6082862909251485
Country 10,Economic,High,4.392975210331985
Country 5,Regulatory,High,1.930763449190842
Country 35,Environmental,Medium,1.7704255703761378
Country 47,Economic,Low,2.19872299413061
Country 41,Environmental,High,1.2313858856705981
Country 1,Political,High,3.8173331573317872
Country 28,Regulatory,High,4.275921573166185
Country 2,Environmental,Low,4.040547400222657
Country 9,Social,Low,3.455226586251621
Country 9,Social,Low,1.8019853012475529
Country 21,Regulatory,Medium,2.61012602635734
Country 30,Political,Low,2.6844840468216558
Country 14,Regulatory,Low,1.24823239441315
Country 29,Regulatory,Low,1.3012595535135816
Country 30,Environmental,Low,4.749163958833762
Country 17,Regulatory,Medium,4.656652260947846
Country 37,Political,Low,2.5525265784762423
Country 9,Social,High,1.1387325577643144
Country 29,Regulatory,Low,1.8319525735729956
Country 49,Regulatory,High,1.112404719741296
Country 31,Political,Low,2.887330371001072
Country 45,Economic,Medium,2.7571755035333227
Country 1,Regulatory,High,4.183648301302629
Country 24,Social,Medium,1.277523380175749
Country 45,Political,Low,3.0543099215738
Country 26,Economic,High,3.0146261078360017
Country 25,Economic,Medium,3.1662942931563016
