Date,Region,Historical_Sales,Predicted_Sales,Market_Trend
2022-11-20 04:37:27,North America,1914,1891,Declining
2023-11-20 19:39:46,Africa,5622,5765,Growing
2023-06-26 03:11:03,South America,43107,45499,Growing
2022-10-13 15:56:42,South America,17575,17294,Declining
2023-10-20 11:26:11,Australia,16165,16413,Declining
2023-05-06 10:44:05,Asia,30093,28213,Declining
2023-05-05 20:57:58,Asia,2136,2266,Stable
2022-05-22 16:28:08,Australia,40570,38113,Growing
2023-11-25 06:23:11,Europe,41628,37701,Stable
2023-02-19 01:36:20,North America,6704,7528,Declining
2022-12-12 02:00:19,Asia,40996,39714,Stable
2023-11-05 07:50:24,Australia,33782,39732,Growing
2023-08-29 14:06:47,North America,37252,38965,Growing
2022-09-07 08:39:04,Europe,25655,29427,Declining
2023-08-30 20:55:45,South America,2136,2084,Growing
2023-03-06 01:52:24,North America,15083,15613,Declining
2023-12-25 11:42:38,North America,10784,12433,Stable
2023-06-07 10:42:21,Asia,48626,49373,Declining
2023-12-14 00:40:58,South America,49811,53831,Growing
2023-08-01 04:32:11,Africa,19210,21618,Growing
2023-06-15 17:55:07,North America,13907,15609,Growing
2023-05-08 23:17:00,Australia,38117,37631,Stable
2022-03-30 10:56:47,Africa,39200,42143,Stable
2023-02-11 23:27:26,Europe,20407,19767,Growing
2022-10-28 09:27:17,North America,15315,14329,Stable
2022-04-19 14:24:27,South America,31601,35622,Stable
2023-09-12 07:57:04,Asia,45073,46949,Declining
2023-01-10 06:02:20,Africa,9989,9477,Declining
2022-03-10 14:25:34,Europe,5256,5286,Growing
2023-10-02 16:29:52,Europe,22674,21620,Stable
2023-01-04 06:35:32,Africa,11117,11324,Declining
2022-05-03 10:23:49,Africa,3128,3324,Declining
2022-08-08 05:04:45,Europe,42907,50090,Declining
2022-06-07 00:51:16,Australia,19253,22127,Stable
2022-04-28 17:36:35,Australia,6136,6523,Stable
2023-06-17 10:53:20,Europe,20145,20649,Stable
2023-02-12 18:09:57,Australia,4754,4425,Stable
2022-07-04 14:16:09,South America,8906,8334,Growing
2022-03-05 13:07:03,North America,45273,49496,Declining
2022-02-15 13:56:13,Africa,27847,32533,Growing
2022-07-08 10:19:03,Africa,48967,46748,Growing
2022-07-16 21:22:41,Europe,36429,34256,Declining
2023-01-25 05:01:32,Asia,48557,57823,Growing
2022-03-17 21:55:12,Australia,20209,18669,Growing
2023-04-21 22:23:15,South America,14547,16863,Growing
2022-05-05 15:50:33,Africa,7530,8320,Declining
2022-09-30 13:52:01,Asia,49020,50028,Growing
2023-09-18 06:33:28,Africa,44813,53211,Declining
2023-10-09 15:02:53,Australia,26989,26384,Stable
2022-03-26 21:15:13,South America,39995,41746,Declining
2023-09-24 04:41:58,Asia,26807,28804,Stable
2023-01-25 10:59:29,Asia,24674,28629,Stable
2023-04-22 04:58:21,Australia,9823,10623,Growing
2023-12-23 01:52:28,South America,43398,47964,Declining
2023-06-23 09:53:04,Africa,21201,19759,Stable
2023-03-18 15:41:40,Europe,31314,33517,Growing
2023-03-25 20:42:26,Asia,17938,20906,Growing
2022-02-07 08:26:03,South America,1404,1415,Declining
2022-05-14 13:15:35,Australia,29228,30284,Declining
2022-08-14 16:18:38,South America,45302,53758,Growing
2022-11-26 21:58:51,Asia,25934,24315,Declining
2023-04-17 16:47:07,South America,38442,38575,Declining
2023-05-27 19:05:01,South America,14813,13834,Declining
2023-04-15 02:42:57,South America,16486,15793,Growing
2023-06-05 21:22:32,South America,10229,11398,Stable
2022-06-25 23:08:31,Australia,10554,10045,Stable
2022-08-25 14:47:49,Africa,6065,6781,Stable
2023-01-12 16:33:46,Australia,44944,51862,Declining
2023-01-06 13:03:17,Asia,7873,7937,Growing
2022-05-03 05:25:49,Africa,17964,20916,Growing
2023-07-30 11:40:20,North America,47892,45633,Stable
2023-02-27 04:39:31,North America,38361,43009,Stable
2023-11-06 17:21:46,Europe,40055,40325,Stable
2023-12-18 23:38:23,South America,40492,45965,Stable
2023-10-29 01:28:07,Europe,31942,32196,Growing
2022-01-27 10:05:22,North America,2123,2411,Stable
2022-12-03 19:33:52,Asia,6238,6730,Declining
2023-05-11 03:39:32,Europe,33385,35616,Stable
2022-05-09 18:03:41,South America,43688,51533,Declining
2023-01-11 09:42:06,Africa,15823,15347,Growing
2022-05-03 04:55:32,Asia,27868,25113,Declining
2023-09-21 09:45:41,South America,18565,17565,Growing
2022-05-10 07:07:01,Asia,35435,40469,Stable
2023-07-13 10:07:41,Europe,38625,37949,Growing
2023-12-22 20:37:13,South America,13842,15219,Growing
2022-03-23 03:20:41,Australia,13511,14330,Growing
2023-06-23 21:33:39,Europe,34120,33929,Growing
2022-08-27 04:30:20,Australia,24118,22382,Growing
2023-02-08 17:34:28,North America,32658,37453,Declining
2022-09-26 07:30:08,Asia,37106,35720,Declining
2023-10-31 10:44:37,Asia,4354,5182,Stable
2022-01-26 16:17:28,Europe,49197,47956,Stable
2023-10-03 13:32:34,Australia,12939,14177,Growing
2023-04-08 17:20:30,Africa,39895,40189,Growing
2023-07-19 08:35:01,South America,9733,9338,Growing
2022-06-27 20:51:14,South America,26852,24453,Growing
2022-10-26 19:33:00,Africa,22550,25244,Stable
2023-10-25 14:32:06,Australia,48650,53258,Declining
2023-12-16 02:14:38,North America,36827,37044,Stable
2023-04-08 20:08:52,Australia,49463,45488,Declining
2022-01-22 09:22:02,Europe,7892,9287,Declining
2023-09-07 10:50:13,Europe,43747,44004,Stable
2023-03-12 22:17:00,North America,15779,14664,Growing
2022-11-10 16:01:03,North America,33148,31070,Growing
2022-03-10 07:49:17,Australia,5423,5611,Growing
2023-03-08 21:16:22,Africa,2608,2354,Declining
2023-05-10 21:16:22,Asia,41608,42503,Stable
2023-10-11 22:20:44,Europe,16344,19343,Declining
2023-03-04 13:42:49,Europe,22854,25383,Growing
2022-12-29 19:53:38,Asia,29104,28187,Stable
2023-09-19 12:04:43,North America,11084,12040,Stable
2023-11-09 19:34:47,North America,12452,13351,Declining
2022-02-10 20:33:49,Africa,22619,25986,Growing
2022-10-24 15:09:23,Asia,15619,17126,Stable
2022-09-14 10:37:09,South America,6148,5797,Stable
2022-05-26 04:52:27,North America,29733,27929,Growing
2022-07-02 23:39:36,South America,27413,30074,Growing
2022-08-25 18:35:03,Africa,36013,42255,Declining
2022-10-11 14:21:44,Asia,44187,47760,Stable
2023-07-26 10:23:11,Africa,29811,28959,Growing
2023-11-08 17:46:15,Europe,45564,44154,Stable
2022-02-21 03:40:01,Asia,36355,33017,Stable
2022-01-06 13:24:14,Australia,14498,15738,Stable
2022-12-05 13:02:53,Africa,37396,41596,Stable
2023-12-21 21:37:38,Asia,29544,30577,Declining
2022-08-01 11:17:16,Asia,41400,48863,Declining
2023-07-22 04:35:58,North America,45429,41600,Growing
2022-12-09 10:17:21,South America,20468,22743,Growing
2022-09-18 19:01:11,Australia,38924,38720,Declining
2023-07-16 02:25:07,Asia,28329,32051,Declining
2022-10-03 10:10:09,Europe,34672,34141,Stable
2023-11-02 21:44:47,Asia,17471,17115,Stable
2023-06-26 02:30:39,North America,6452,6347,Growing
2022-09-25 02:44:59,Asia,19000,21850,Stable
2022-03-23 18:57:37,Africa,2973,3308,Growing
2023-08-15 20:55:00,Africa,8966,9873,Declining
2023-10-23 14:09:55,Asia,40656,46732,Stable
2022-08-11 01:40:30,North America,48728,57601,Stable
2022-11-12 02:22:37,Europe,19093,20546,Declining
2023-04-22 12:01:38,Australia,1230,1241,Growing
2023-02-12 19:16:09,South America,2014,2282,Growing
2023-11-02 11:14:56,Asia,35353,33766,Declining
2022-05-31 05:12:16,South America,29002,27941,Declining
2022-05-12 04:09:43,Asia,21622,19888,Growing
2023-11-28 23:24:23,Europe,13267,12516,Stable
2023-09-01 09:57:52,South America,32279,32935,Stable
2023-03-08 13:16:35,Europe,44003,42756,Stable
2023-08-21 10:36:52,South America,2859,2980,Stable
2023-01-26 20:01:26,Europe,37843,38335,Growing
2023-06-25 20:09:57,Asia,12786,12404,Stable
2022-01-04 10:47:59,Africa,12293,14694,Growing
2022-12-30 18:18:25,North America,14051,16592,Growing
2022-06-19 10:11:51,Asia,23612,25598,Stable
2022-04-30 19:54:09,North America,10735,11208,Stable
2023-10-10 22:46:17,North America,49394,48772,Declining
2023-03-05 19:06:18,Asia,40162,38224,Declining
2022-06-26 20:44:40,South America,35868,33119,Declining
2022-12-10 08:40:39,Africa,29779,30575,Declining
2023-01-30 12:29:02,Africa,49051,49368,Declining
2023-10-26 00:59:58,Africa,35379,41491,Growing
2022-11-10 03:52:31,Africa,18644,19736,Stable
2022-04-15 22:54:19,Europe,12142,12130,Growing
2023-01-04 17:40:24,Australia,20120,24014,Stable
2022-01-28 22:16:52,Europe,44413,52456,Declining
2023-10-21 12:16:07,Asia,27067,31877,Stable
2022-02-25 11:20:50,Australia,34713,32961,Growing
2023-06-30 15:46:11,Australia,27471,25134,Stable
2022-01-19 02:54:04,South America,19581,20666,Growing
2023-10-08 16:36:01,Australia,6635,7610,Stable
2022-06-06 14:47:16,South America,46795,48067,Growing
2022-06-16 14:17:21,Asia,7389,7208,Declining
2022-05-13 22:15:34,Australia,19937,20440,Declining
2023-03-20 08:49:54,South America,49537,54762,Stable
2023-08-19 12:04:03,South America,44645,46779,Declining
2022-07-17 13:09:42,Asia,17585,19765,Declining
2022-12-04 15:13:26,Australia,48741,57445,Growing
2023-02-10 02:17:20,Asia,16078,16532,Growing
2023-06-25 01:35:16,South America,1277,1361,Growing
2023-11-27 21:46:03,Asia,26353,25122,Declining
2022-08-03 07:44:26,South America,9681,9740,Stable
2022-11-10 01:24:47,North America,22780,22470,Declining
2022-05-22 12:41:11,North America,35394,41855,Growing
2022-07-19 03:24:14,Europe,8166,9243,Stable
2023-04-06 20:24:23,Africa,49016,56503,Declining
2022-11-17 04:18:03,Africa,44368,51997,Declining
2023-09-07 06:19:05,Australia,11442,13636,Declining
2023-05-17 05:07:37,South America,26164,29178,Declining
2022-11-07 12:03:39,Africa,33771,32798,Stable
2022-10-02 13:04:32,Australia,4598,4873,Stable
2023-08-06 06:12:10,North America,27771,29345,Stable
2023-03-26 04:05:25,Asia,1403,1601,Declining
2023-08-18 22:52:06,South America,25668,26503,Declining
2023-07-29 01:17:16,Asia,31224,28165,Declining
2022-08-27 09:21:47,Australia,7456,7656,Declining
2023-03-06 15:25:58,Africa,3281,3847,Declining
2023-04-22 07:42:25,Africa,7722,7543,Growing
2023-01-30 00:48:22,Asia,29381,33714,Declining
2023-01-27 15:21:20,South America,10856,9790,Stable
2023-09-30 19:19:38,South America,27779,25866,Stable
2022-08-19 21:41:20,South America,48084,43347,Stable
2023-03-23 13:24:31,South America,15981,14879,Growing
2023-11-05 10:31:49,Europe,2960,2837,Declining
2023-05-21 09:49:27,Asia,11773,12720,Growing
2022-06-26 06:15:23,North America,4307,4939,Stable
2023-12-30 18:41:33,South America,35535,40558,Declining
2022-11-22 11:37:26,South America,16894,16319,Growing
2022-05-20 20:53:48,Australia,35819,36948,Growing
2022-11-09 11:23:29,Australia,13158,12710,Growing
2023-11-21 11:57:28,Asia,35343,31885,Declining
2023-01-09 10:59:53,South America,6536,7481,Stable
2023-01-04 12:17:10,Europe,47544,51139,Stable
2022-02-04 18:24:28,Australia,29378,34436,Declining
2022-07-10 10:56:04,Europe,5846,5584,Growing
2023-08-12 23:54:46,South America,40288,39389,Declining
2022-07-04 03:09:56,Asia,19509,22120,Stable
2022-01-04 05:34:58,Australia,7010,8240,Growing
2023-02-16 00:07:31,North America,48712,58223,Declining
2022-10-04 11:19:12,Europe,33467,33858,Stable
2023-12-20 21:32:04,Europe,7563,8392,Declining
2022-05-15 12:11:03,Asia,1691,1545,Growing
2022-12-17 11:26:05,Australia,13535,13123,Growing
2022-03-21 19:30:27,South America,26133,28462,Declining
2023-06-08 14:36:07,Europe,8506,8687,Stable
2023-01-26 17:52:31,Europe,44404,43032,Stable
2022-12-15 05:22:49,Europe,15934,17926,Declining
2023-09-30 22:04:27,Australia,36327,34714,Stable
2022-01-15 03:51:54,Africa,10265,10455,Growing
2023-02-22 01:12:07,North America,31095,28962,Declining
2022-08-27 04:07:33,North America,31336,37455,Stable
2023-11-19 15:35:22,South America,30983,28941,Growing
2022-06-10 23:48:13,South America,10968,10083,Stable
2023-05-17 09:41:09,North America,5663,6664,Stable
2022-06-23 00:09:06,North America,32921,36755,Growing
2023-03-29 04:22:53,Europe,1221,1174,Stable
2022-10-14 17:32:46,Europe,20133,21393,Declining
2022-04-29 21:47:22,North America,42726,50379,Growing
2022-05-12 22:16:12,Australia,9375,10709,Growing
2022-04-17 19:31:04,Asia,46652,50590,Growing
2022-12-15 08:31:26,Asia,23980,28397,Declining
2023-10-13 20:00:38,South America,29655,28989,Stable
2023-02-15 00:50:23,North America,7173,7295,Stable
2023-02-23 19:40:25,Australia,23392,23193,Declining
2022-03-23 19:18:45,North America,4523,5018,Stable
2022-01-17 13:10:31,Australia,10238,11216,Growing
2023-11-30 22:26:20,Australia,6865,7013,Declining
2022-01-20 08:32:48,Australia,34002,36169,Stable
2022-10-14 01:44:16,Asia,4460,4860,Declining
2022-10-06 17:22:38,North America,21412,22829,Growing
2022-01-31 23:30:14,North America,33182,35988,Growing
2023-05-21 03:11:36,Africa,46306,52463,Declining
2022-11-26 00:06:00,Africa,12505,13671,Declining
2022-08-02 02:34:11,Europe,25298,24472,Growing
2022-06-28 01:12:13,Europe,21140,19933,Stable
2023-09-20 07:07:42,Asia,9798,8838,Declining
2022-04-11 06:00:18,Asia,43912,44292,Declining
2022-02-07 20:44:10,South America,15741,17454,Stable
2023-08-20 17:27:43,Europe,9752,8785,Growing
2022-04-30 14:59:36,Africa,23663,23025,Stable
2023-09-20 01:12:56,Africa,18444,19139,Growing
2023-02-16 22:31:04,South America,31549,31051,Stable
2023-12-21 17:04:14,North America,29168,34968,Declining
2023-02-10 12:51:14,Africa,13810,12933,Growing
2023-03-28 12:12:18,Asia,16027,14540,Declining
2022-12-18 02:02:06,Australia,38830,40625,Stable
2022-06-03 11:41:18,Europe,49220,45920,Declining
2022-07-03 18:45:30,Asia,31923,36489,Declining
2022-10-01 15:33:18,Asia,3606,3555,Growing
2022-01-09 12:30:16,Asia,17680,16540,Declining
2022-11-11 02:35:07,Australia,25324,26174,Declining
2022-10-22 00:28:48,South America,9129,8743,Stable
2023-01-15 15:52:26,North America,1517,1650,Growing
2022-04-06 21:11:07,Africa,15792,16443,Stable
2022-01-17 07:11:53,Asia,49728,55800,Growing
2022-04-21 08:24:30,Australia,10294,10849,Growing
2023-08-08 17:06:40,Australia,35351,32705,Stable
2022-03-29 18:24:52,Europe,26256,30991,Declining
2023-02-27 19:12:05,North America,45691,47541,Declining
2022-05-06 10:46:41,North America,34546,34407,Declining
2022-02-21 16:12:27,Australia,5511,5269,Declining
2022-02-28 02:32:54,Australia,29277,34116,Growing
2022-06-11 09:29:51,Europe,19159,19924,Stable
2022-11-26 10:55:57,Australia,23497,26839,Stable
2023-05-07 18:49:18,Asia,2245,2021,Growing
2023-01-19 22:22:00,Australia,12452,12546,Stable
2023-08-15 07:32:13,Australia,1702,1964,Stable
2022-11-10 17:39:16,Africa,4342,5091,Declining
2022-08-04 02:31:01,Asia,43758,49846,Declining
2023-10-08 05:46:20,North America,41707,45685,Stable
2023-04-07 00:04:35,Australia,43690,52079,Growing
2022-01-10 20:05:41,North America,5175,5017,Stable
2023-11-15 14:25:47,Asia,15414,13970,Declining
2022-07-05 10:55:30,South America,30843,30032,Declining
2022-10-13 17:02:04,South America,4912,4891,Declining
2023-11-29 23:22:27,Asia,15889,18979,Growing
2023-01-22 21:23:50,Australia,5413,5796,Declining
2022-11-28 13:36:51,Asia,25746,27479,Stable
2023-04-16 03:21:03,South America,31309,28559,Declining
2022-02-03 18:05:22,North America,20600,18676,Growing
2022-12-04 16:49:10,Australia,41545,43383,Declining
2022-01-11 19:07:01,Asia,19745,23454,Declining
2023-09-18 09:29:29,North America,27810,26305,Declining
2022-04-25 17:50:36,Africa,2189,2509,Stable
2022-04-01 01:10:32,Asia,36702,41855,Stable
2022-06-16 03:03:32,Australia,21535,23212,Stable
2022-01-26 22:36:36,Australia,21820,24590,Growing
2022-05-27 12:37:20,Europe,25356,27421,Declining
2022-02-25 20:03:15,Europe,35879,32889,Declining
2022-10-22 18:03:10,North America,14712,17465,Growing
2022-05-15 14:10:24,Africa,40745,47095,Growing
2023-11-29 23:01:11,Europe,14677,17211,Stable
2023-01-31 02:58:50,Australia,31420,30754,Declining
2022-01-12 07:52:50,Australia,23588,24524,Declining
2022-08-07 10:44:54,South America,13540,15962,Declining
2022-04-19 16:49:13,North America,25752,28563,Stable
2023-09-18 11:19:06,Africa,15922,17936,Growing
2023-12-06 12:53:11,Europe,32757,34826,Stable
2023-01-16 10:11:54,Europe,30201,34837,Stable
2022-12-03 11:13:26,South America,40077,41238,Stable
2022-08-18 21:54:58,South America,36173,40031,Declining
2022-05-21 15:54:26,Europe,11262,11154,Declining
2023-03-29 08:39:49,Asia,21404,19675,Declining
2023-10-12 09:39:35,Australia,28117,26390,Declining
2022-08-20 23:21:23,North America,6207,6534,Growing
2022-05-01 08:45:40,North America,10123,9410,Growing
2023-11-01 09:46:13,Africa,29672,29820,Growing
2023-06-26 01:36:14,Africa,48451,50320,Stable
2023-09-26 08:35:31,South America,46071,42710,Growing
2022-05-07 17:29:32,North America,16461,17075,Stable
2022-09-06 07:15:47,Africa,25846,29080,Growing
2022-07-13 15:06:49,North America,8575,10235,Growing
2023-02-06 21:08:53,Asia,45397,45001,Stable
2022-03-04 10:57:23,Asia,47571,43838,Declining
2023-12-05 18:49:01,Asia,7248,7814,Stable
2022-07-29 14:13:40,Asia,49215,51461,Stable
2022-10-28 04:55:31,Europe,13124,12129,Declining
2023-08-15 02:06:44,South America,19079,21736,Declining
2023-03-14 02:00:45,South America,29543,29899,Stable
2022-11-28 14:37:15,Asia,45724,53946,Declining
2022-04-04 17:46:18,Europe,18217,21791,Declining
2022-12-31 13:33:49,Africa,46327,51546,Stable
2023-11-15 02:01:15,North America,11518,12107,Declining
2023-09-24 02:22:55,Europe,38186,38506,Declining
2022-11-10 06:20:03,South America,17543,20619,Declining
2023-08-22 18:02:40,South America,36772,37107,Declining
2023-05-20 15:45:00,Asia,13580,16024,Growing
2022-01-24 23:22:18,Australia,13119,14589,Growing
2022-08-02 09:03:07,South America,4487,4361,Growing
2023-10-18 01:31:26,South America,42119,47173,Growing
2023-01-22 21:10:37,Africa,9549,8773,Declining
2022-07-26 10:28:47,South America,24041,28174,Growing
2022-12-11 17:11:10,Asia,16063,18458,Growing
2022-07-09 08:54:12,South America,39604,45336,Stable
2023-11-17 22:54:24,North America,18613,17119,Growing
2023-05-27 13:48:16,Australia,7426,8682,Growing
2023-04-14 09:33:42,North America,47330,52586,Stable
2022-03-30 19:14:13,South America,5905,6036,Declining
2022-05-26 20:34:51,Africa,40988,47780,Stable
2022-06-15 08:16:56,Australia,31145,28741,Stable
2022-05-20 13:21:25,South America,40804,40683,Growing
2023-07-18 16:31:26,Australia,14953,17375,Declining
2022-03-23 13:17:25,Africa,12578,13731,Growing
2023-01-23 03:31:29,Africa,43802,42520,Declining
2022-07-01 18:40:45,South America,14633,17024,Growing
2022-01-18 20:19:43,South America,24046,23089,Stable
2022-10-21 15:30:02,North America,16378,15522,Stable
2022-07-16 17:44:47,Africa,19019,21678,Stable
2022-02-21 14:11:55,Africa,17274,18458,Stable
2023-01-05 16:45:52,South America,14456,14091,Stable
2022-11-29 18:46:10,Africa,27743,33203,Declining
2023-01-27 12:03:51,Africa,20663,23209,Declining
2023-08-09 07:42:33,Africa,20999,24833,Declining
2023-11-22 08:34:48,Europe,8846,10441,Growing
2022-02-02 23:07:15,South America,31925,36119,Stable
2022-05-28 09:30:43,South America,33505,30869,Stable
2023-06-10 23:39:49,Asia,37719,35178,Stable
2023-08-06 16:55:24,North America,20820,20709,Stable
2022-04-10 21:29:33,Europe,44415,42580,Stable
2023-11-05 17:38:22,South America,48947,51219,Declining
2022-05-12 17:28:16,Europe,17034,17471,Stable
2022-12-12 20:24:40,South America,6530,7213,Stable
2022-05-08 16:11:45,North America,17082,17499,Growing
2023-05-16 04:41:25,Australia,33689,32814,Growing
2023-02-03 19:55:57,Asia,46667,50832,Stable
2023-04-27 02:49:55,North America,31346,29161,Declining
2023-04-30 18:42:06,Australia,25734,24813,Stable
2022-08-30 02:36:13,South America,27651,31461,Growing
2023-10-09 08:01:51,South America,20624,22653,Declining
2022-10-04 20:44:41,Africa,21509,20965,Declining
2023-07-29 23:00:04,North America,17592,19597,Stable
2023-08-25 08:56:53,Asia,24002,27471,Growing
2023-09-19 22:56:36,Europe,14281,13264,Growing
2023-12-21 16:42:27,Australia,34663,39106,Stable
2022-04-15 08:16:59,Africa,25327,24433,Declining
2022-02-09 14:58:14,Australia,1158,1338,Stable
2023-08-17 03:36:48,Europe,5054,5264,Stable
2022-03-25 20:26:46,South America,49556,53374,Declining
2023-06-13 17:30:10,Europe,36969,37138,Growing
2023-12-07 23:52:16,Europe,20800,23931,Stable
2023-09-03 00:08:02,Australia,16391,16135,Growing
2023-03-30 17:49:15,Africa,18364,21707,Declining
2022-12-05 19:57:33,Asia,36803,42632,Growing
2022-12-16 05:48:25,South America,10871,11897,Growing
2022-02-06 11:23:58,South America,28878,29452,Stable
2023-01-09 08:18:26,Africa,19082,20066,Stable
2022-05-21 17:35:12,Australia,36574,38694,Growing
2022-01-19 13:24:26,South America,8746,9114,Growing
2023-05-10 02:07:05,North America,25060,29063,Stable
2022-07-07 04:42:48,Europe,3496,4019,Declining
2022-06-15 22:06:03,North America,26199,27551,Stable
2023-04-02 17:37:12,Australia,47935,49092,Growing
2023-08-24 12:49:33,North America,43962,46659,Declining
2022-10-02 11:53:41,Africa,25598,25943,Stable
2022-01-25 16:47:10,South America,4155,4790,Declining
2023-04-10 10:07:46,North America,6518,7652,Stable
2023-08-31 11:04:35,Australia,21187,23669,Declining
2022-07-13 17:22:07,Africa,36202,37636,Declining
2022-12-08 23:32:46,North America,5042,5340,Declining
2023-01-22 17:34:49,South America,8718,8666,Declining
2023-07-29 18:20:08,North America,32195,29262,Declining
2023-09-03 13:33:39,South America,49496,51618,Growing
2022-10-25 04:13:34,South America,5006,4769,Stable
2022-07-04 12:45:05,Europe,45503,51571,Stable
2022-09-06 22:06:38,Australia,31756,37228,Declining
2023-09-10 12:23:20,South America,19446,18110,Declining
2023-12-13 15:30:05,Europe,34859,35442,Declining
2022-12-31 22:35:50,North America,10827,12758,Growing
2023-06-13 10:03:16,Europe,15283,14003,Declining
2023-01-11 18:59:44,North America,48102,49936,Declining
2023-02-02 03:37:20,Asia,23612,21910,Declining
2022-11-30 11:48:14,North America,5289,5757,Declining
2022-07-04 01:55:25,Africa,45207,54022,Growing
2023-05-09 21:34:26,Australia,18699,21095,Stable
2023-09-06 13:38:27,Europe,39529,42924,Stable
2022-06-17 07:16:45,Africa,22969,24052,Declining
2022-05-27 07:54:26,Europe,30945,34919,Growing
2022-04-22 00:39:47,Asia,12550,13009,Declining
2023-08-22 00:20:18,South America,7802,7277,Declining
2023-02-01 04:40:08,South America,20727,23744,Stable
2022-07-05 07:28:48,Europe,10854,12705,Stable
2023-08-16 17:06:41,Africa,39218,35901,Growing
2023-06-14 00:17:30,Africa,46815,49189,Declining
2022-07-01 03:38:22,South America,8011,8977,Declining
2023-01-18 13:19:09,Europe,7908,8583,Stable
2023-06-04 17:13:40,Europe,26259,28508,Declining
2022-07-18 07:29:33,Asia,3433,3510,Growing
2022-01-10 06:20:33,Europe,28000,30155,Stable
2022-11-20 02:59:44,Asia,40615,47362,Growing
2022-05-20 10:59:17,Asia,30236,27465,Growing
2022-08-31 14:14:29,North America,28398,25790,Growing
2023-05-28 22:05:47,Australia,34164,39283,Stable
2022-08-08 12:09:57,Asia,29154,28675,Stable
2023-01-30 00:44:19,Africa,4103,4003,Growing
2023-10-04 22:11:37,North America,17428,17530,Growing
2022-05-03 08:14:17,North America,49365,45509,Growing
2022-06-16 09:49:13,Africa,10349,11197,Declining
2022-10-12 02:19:26,Africa,14121,15167,Growing
2022-06-27 20:23:12,North America,44691,47842,Stable
2023-12-28 19:15:37,Africa,36216,41639,Declining
2023-09-25 15:48:59,Asia,4016,4803,Growing
2023-12-22 04:48:25,North America,21219,24035,Growing
2022-08-16 21:14:07,South America,1701,2010,Stable
2022-02-11 01:29:44,Africa,17826,19285,Stable
2022-05-26 10:27:50,Africa,30105,27967,Growing
2022-12-19 16:55:16,Australia,45911,46511,Growing
2022-04-01 08:25:01,North America,27698,30215,Growing
2023-02-24 20:25:49,South America,29554,32131,Growing
2023-02-11 14:02:26,Africa,47176,46334,Declining
2023-10-18 09:14:45,Africa,48468,55676,Declining
2023-12-22 15:03:45,Africa,46108,43814,Growing
2023-08-24 14:46:49,Europe,49498,59116,Declining
2023-06-11 02:29:11,North America,28108,28072,Stable
2023-08-13 09:18:06,North America,31335,28884,Growing
2023-11-16 05:17:15,Europe,6056,5867,Declining
2023-08-20 07:44:50,Australia,36022,36717,Stable
2023-08-18 08:11:34,South America,17211,20426,Declining
2023-02-12 13:10:07,North America,12958,14955,Growing
2022-12-17 10:13:12,Australia,46626,45715,Declining
2023-11-30 21:40:56,South America,33036,38110,Stable
2023-01-27 23:54:20,Australia,23487,23993,Stable
2022-07-15 04:00:40,Europe,6512,7803,Declining
2023-11-15 18:05:15,Africa,39155,38964,Growing
2023-07-23 02:15:07,Australia,14787,17103,Declining
2023-01-11 22:45:15,South America,33092,36634,Stable
2023-06-04 15:48:33,South America,15103,14191,Stable
2022-07-30 15:33:44,Africa,23445,22275,Growing
2022-03-02 11:59:25,South America,15133,16139,Declining
2022-08-04 16:22:42,South America,49848,45753,Growing
2022-05-01 06:57:24,Asia,35227,34080,Growing
2022-09-22 08:52:22,South America,40924,45523,Declining
2023-04-22 04:07:15,Asia,45258,54010,Stable
2023-04-11 14:27:03,Australia,13414,14185,Declining
2023-09-20 08:03:00,Europe,49245,58097,Growing
2023-08-06 02:22:20,North America,5518,6421,Stable
2023-08-30 01:08:14,Europe,32915,31268,Stable
2022-07-08 10:51:25,North America,28359,29091,Stable
2022-03-07 09:35:53,Asia,42023,41075,Growing
2022-11-13 11:59:27,Asia,41615,44054,Declining
2023-04-11 02:29:01,Asia,42796,41921,Declining
2023-05-02 06:02:28,Europe,16127,18645,Declining
2022-12-07 19:35:37,Europe,31648,37305,Stable
2022-10-02 20:32:59,South America,35659,40774,Declining
2023-01-05 17:53:54,Asia,22816,24746,Growing
2023-10-18 19:28:01,Africa,8331,7873,Growing
2023-01-26 19:30:01,Asia,33224,34848,Growing
2022-08-26 00:47:43,North America,48709,46681,Declining
2023-06-19 16:02:11,Australia,7620,9036,Growing
2023-07-25 16:09:21,Australia,1134,1211,Declining
2022-02-01 15:52:55,South America,40412,43678,Growing
2023-07-22 11:17:12,Africa,45503,54095,Declining
2023-02-05 03:03:53,Asia,22414,23416,Growing
2023-12-11 13:16:42,Australia,22921,21777,Growing
2022-10-30 22:06:02,Asia,12737,13515,Growing
2023-12-09 17:39:55,North America,41854,40925,Growing
2023-11-03 05:53:18,North America,43708,39935,Declining
2023-10-07 16:28:20,Asia,14555,16916,Stable
2022-06-03 12:38:45,North America,30626,34898,Stable
2023-07-11 06:31:13,Australia,47872,52650,Growing
2023-11-10 17:00:51,Australia,11493,13102,Stable
2023-09-14 04:57:07,South America,22420,22595,Declining
2023-01-15 16:39:01,South America,35779,37429,Stable
2022-03-09 10:21:27,North America,26286,31336,Growing
2023-06-05 17:34:53,Europe,47815,50010,Stable
2023-06-27 05:09:42,Asia,35937,39895,Stable
2023-07-27 10:13:22,Europe,23768,28228,Stable
